sequence_id	cluster_id	start	end	tax_id
NZ_CAWLDM010000001	PUL0784	6897268	6909411	445327
NZ_CAWLDM010000001	PUL0785	7257044	7296969	445327
NZ_CP012938	PUL0786	686700	736482	28116
NZ_CP012938	PUL0787	5695360	5755102	28116
NZ_CP012938	PUL0788	5761137	5810545	28116
NZ_CP012938	PUL0789	6454296	6471913	28116
NZ_CP012938	PUL0790	781108	787422	28116
NZ_CP012938	PUL0791	844103	860542	28116
NZ_CP079235	PUL0792	549827	573387	28026
NZ_ABJL02000006	PUL0793	46951	77011	329854
NZ_ABJL02000008	PUL0794	835017	876949	329854
NC_009441	PUL0795	850019	873685	986
NZ_LSNE01000005	PUL0796	187809	238906	1799789
